word,frequency
utrecht,25079
gevangenis,25054
lager,25045
merken,25043
afdeling,25039
waregem,25026
noorden,25013
honderden,25010
groetjes,25007
democratie,25006
500,24926
past,24895
aanpak,24863
onderwerp,24852
belgisch,24821
boete,24819
aalst,24815
gedrag,24811
ofwel,24787
klant,24778
huwelijk,24739
tientallen,24719
luisteren,24700
75,24688
chinese,24669
zogenaamde,24625
hoek,24606
flink,24596
begrijp,24592
zekerheid,24589
telefoon,24584
draaien,24567
veranderd,24562
principe,24554
computer,24510
degelijk,24476
gebouwd,24455
gewond,24447
woningen,24441
bijzondere,24437
wijzen,24391
eentje,24387
1994,24366
onderzoeken,24352
wallonie,24351
rechtstreeks,24347
bert,24346
effect,24340
directie,24312
muur,24275
poging,24272
verdienen,24263
raken,24258
mama,24238
toont,24220
brussels,24218
min,24200
gedurende,24188
verdwijnen,24186
kim,24185
levert,24179
robert,24177
ongeval,24164
gentse,24147
restaurant,24143
starten,24139
soorten,24138
doordat,24122
velen,24102
besloten,24087
voeten,24044
model,24015
partner,24014
wit,24011
ziekte,24009
vlees,23996
steven,23996
tentoonstelling,23990
zover,23984
mijnheer,23971
be,23946
doelman,23928
kust,23874
voortaan,23851
karel,23844
medewerkers,23839
afgesloten,23811
bezit,23783
type,23771
grenzen,23762
materiaal,23759
lage,23725
!!!,23714
herman,23698
hopelijk,23689
vanmorgen,23678
concurrentie,23675
avonds,23649
lukt,23647
turkse,23634
gewijzigd,23633
lichte,23612
vergelijking,23601
stijl,23601
reacties,23581
daders,23577
ogenblik,23574
baby,23567
:(,23560
smaak,23544
qui,23524
duizend,23522
vlucht,23501
ontslag,23495
beurt,23469
engelse,23453
moeilijke,23452
straf,23437
kern,23428
japan,23417
aanbod,23405
taak,23397
au,23395
meerdere,23394
onderhandelingen,23378
noodzakelijk,23375
historische,23352
gebieden,23346
vertrekken,23341
vandaar,23296
agenten,23286
eruit,23267
dames,23266
vertelde,23257
vrede,23251
vanmiddag,23239
volgde,23238
sk,23225
bedoelde,23221
begrip,23216
kevin,23190
kende,23167
gebouwen,23154
eiland,23146
organiseren,23141
neus,23121
wijk,23113
geest,23095
mate,23062
aanvankelijk,23055
kandidaten,23051
duurt,23016
combinatie,23012
verschillen,23010
helpt,23009
ineens,23007
inhoud,22999
ton,22981
wijst,22898
oorzaak,22859
out,22829
nen,22780
roman,22755
voort,22733
vroegere,22714
milieu,22713
praat,22703
est,22702
beiden,22693
behandeling,22658
mark,22648
spoor,22644
andre,22623
legde,22594
zen,22573
oudere,22568
bescherming,22555
moe,22553
betrekking,22539
soldaten,22539
gekocht,22538
gelegen,22511
opgericht,22469
woordvoerder,22461
that,22418
zestig,22416
mss,22409
verkeerde,22407
ideeen,22402
forum,22396
duren,22387
ach,22378
